Movie,Release,Rating
Hard Boiled,1992,7.9
Sherlock Jr.,1924,8.2
The Visitor,2007,7.7
Batman: Mask of the Phantasm,1993,7.9
"4 Months, 3 Weeks and 2 Days",2007,7.9
Battleship Potemkin,1925,8
Peeping Tom,1960,7.7
The Secret of Kells,2009,7.7
Shadow of a Doubt,1943,7.9
The Wages of Fear,1953,8.1
Ivan's Childhood,1962,8.1
The Postman (Il Postino),1994,7.7
The Gold Rush,1925,8.2
My Sassy Girl,2001,8.1
Waltz with Bashir,2008,8
Cowboy Bebop: The Movie,2001,7.9
Barfi!,2012,8.1
Duck Soup,1933,8
Kahaani,2012,8.1
G.O.R.A.,2004,8
The Lost Weekend,1945,8
Interstate 60: Episodes of the Road,2002,7.7
The Hidden Fortress,1958,8.1
Nine Queens,2000,7.9
Evil,2003,7.8
The Triplets of Belleville,2003,7.8
Adam's Apples,2005,7.8
Haider,2014,8.1
After the Wedding,2006,7.8
Airlift,2016,8.1
Miracle on 34th Street,1947,7.9
Jules and Jim,1962,7.9
Bajrangi Bhaijaan,2015,8
Dilwale Dulhania Le Jayenge,1995,8.2
The Killer,1989,7.8
The Counterfeiters,2007,7.6
Dil Chahta Hai,2001,8.2
C.R.A.Z.Y.,2005,8
Boy A,2007,7.6
Joyeux Noel,2005,7.8
Drunken Master II,1994,7.6
Munna Bhai M.B.B.S.,2003,8.2
Black,2005,8.2
Kal Ho Naa Ho,2003,8
Le Dîner de Cons,1998,7.7
Sanjuro,1962,8.1
Tokyo Godfathers,2003,7.9
Vampire Hunter D: Bloodlust,2000,7.7
Hera Pheri,2000,8.2
Central Station,1998,8
Tae Guk Gi: The Brotherhood of War,2004,8.1
La Grande Illusion,1937,8.1
A Wednesday,2008,8.2
Love and Death,1975,7.8
The Edge of Heaven,2007,7.8
Udaan,2010,8.2
Veer-Zaara,2004,7.9
Kind Hearts and Coronets,1949,8.1
Andaz Apna Apna,1994,8.2
Confessions,2010,7.8
Jab We Met,2007,7.9
Zelig,1983,7.8
Paan Singh Tomar,2012,8.2
3-Iron,2004,8.1
Chak de! India,2007,8.2
Baby,2015,8.1
Swades,2004,8.3
OMG: Oh My God!,2012,8.2
The Barbarian Invasions,2003,7.7
Vizontele,2001,8.1
The Muppet Christmas Carol,1992,7.7
Sholay,1975,8.2
A Night at the Opera,1935,8
And Now for Something Completely Different,1971,7.6
Dev D,2009,8
Bhaag Milkha Bhaag,2013,8.2
English Vinglish,2012,7.9
Lage Raho Munna Bhai,2006,8.1
Vicky Donor,2012,7.8
Special 26,2013,8
The Breath,2009,8.1
